Time (s),Temp0,Temp1,Temp2,Temp_CPU,Volt0,Volt1,Volt2,Volt_CPU,Curr0,Curr1,Curr2
24573.874985231,25.6875,25.5,0,55.8,0.0,0.0032,0,1.2813,0.0,-7.5,0
24575.874989038,25.6875,25.5,0,58.0,0.0,0.0,0,1.2813,-5.0,-10.0,0
24577.874993678,25.6875,25.5,0,58.0,0.0,0.0032,0,1.2813,2.5,-10.0,0
24579.874996652,25.6875,25.5,0,59.1,0.0,0.0048,0,1.2813,0.0,-5.0,0
24581.874997647,25.6875,25.4375,0,59.1,0.0016,0.0048,0,1.2813,-2.5,-2.5,0
24583.87499984,25.6875,25.5,0,60.1,0.0,0.0048,0,1.2813,0.0,-2.5,0
24585.875000679,25.6875,25.5,0,60.1,0.0,0.0032,0,1.2813,-2.5,-2.5,0
24587.875002768,25.6875,25.5,0,60.7,0.0,0.0032,0,1.2813,-2.5,-7.5,0
24589.875005325,25.6875,25.5,0,61.2,0.0016,0.0032,0,1.2813,-2.5,-7.5,0
24591.875009029,25.6875,25.5,0,61.8,0.0,0.0064,0,1.2813,-2.5,-7.5,0
24593.875013862,25.6875,25.5,0,61.2,0.0,0.0032,0,1.2813,0.0,-10.0,0
24595.875016223,25.6875,25.4375,0,61.8,0.0016,0.0032,0,1.2813,-5.0,-5.0,0
24597.875018411,25.6875,25.4375,0,61.2,0.0,0.0048,0,1.2813,-2.5,-2.5,0
24599.875019593,25.6875,25.4375,0,62.3,0.0016,0.0032,0,1.2813,-2.5,-5.0,0
24601.87502029,25.6875,25.4375,0,62.3,0.0,0.0032,0,1.2813,-2.5,-2.5,0
24603.87502274,25.6875,25.4375,0,62.8,0.0,0.0016,0,1.2813,-2.5,-7.5,0
24605.875025696,25.6875,25.4375,0,63.9,0.0,0.0032,0,1.2813,-5.0,-5.0,0
