Time (s),Temp0,Temp1,Temp2,Temp_CPU,Volt0,Volt1,Volt2,Volt_CPU,Curr0,Curr1,Curr2
6205.348151455,24.5625,24.6875,27.0625,56.9,2.3056,2.4736000000000002,3.952,1.2938,-0.0025,-0.0025,0.0
6209.348155461,24.5625,24.6875,27.0,58.0,3.6384000000000007,3.6896,3.9472000000000005,1.2938,0.0,-0.0025,0.0025
6213.348158962,24.5625,24.6875,27.0,58.0,3.1840000000000006,3.2944,3.9408,1.2938,-0.0025,0.0,0.0
6217.3481618,24.5625,24.75,27.0,59.1,2.8192000000000004,2.9648000000000003,3.9392000000000005,1.2938,0.0025,-0.0025,0.0025
6221.348162307,24.5625,24.6875,26.9375,59.6,2.0272,2.0704000000000002,3.8048,1.2938,0.0,0.0,44.9025
6225.348164128,24.5625,24.6875,26.9375,59.1,1.8336000000000001,1.896,3.7936000000000005,1.2938,-0.0025,0.0,45.1025
6229.348164186,24.5,24.6875,26.875,59.1,1.664,1.7424000000000002,3.7807999999999997,1.2938,0.0025,-0.0025,45.2375
6233.348164513,24.5625,24.75,26.9375,59.1,2.0016,2.0416,3.7744,1.2938,0.0,0.0,45.425
6237.348167605,24.5625,24.75,26.875,59.6,1.8032,1.8624,3.7712,1.2938,-0.0025,0.0025,44.915
6241.348171431,24.625,24.75,26.875,59.6,1.6288,1.7056,3.7632,1.2938,-0.0025,-0.0075,45.0425
6245.348175468,24.625,24.75,26.875,60.1,1.48,1.5648,3.7568,1.2938,-0.0025,-0.0025,45.055
6249.348175912,24.625,24.75,26.8125,59.1,1.3472,1.4384000000000001,3.7488,1.2938,-0.0025,-0.005,45.2
6253.348175991,24.5625,24.75,26.875,59.6,1.2304000000000002,1.3248,3.7456,1.2938,0.0,0.0025,45.2525
6257.348176223,24.625,24.75,26.8125,60.1,1.1264,1.2224000000000002,3.7407999999999997,1.2938,-0.005,0.0,45.245
6261.348177129,24.625,24.75,26.875,60.1,1.0335999999999999,1.128,3.736,1.2938,0.0025,0.0,45.46
6265.348179019,24.625,24.75,26.8125,60.1,0.9488,1.0448,3.7344,1.2938,0.0025,-0.0025,44.9825
6269.348180068,24.625,24.75,26.8125,59.6,0.872,0.968,3.7312,1.2938,-0.005,-0.0025,44.915
6273.34818267,24.625,24.75,26.8125,60.7,0.8032,0.8944,3.7263999999999995,1.2938,0.0025,-0.005,45.0
6277.348184378,24.625,24.75,26.8125,60.1,0.7424,0.8304000000000001,3.7232,1.2938,0.0,-0.0025,44.955
6281.348187792,24.625,24.75,26.8125,60.7,0.6848000000000001,0.7696000000000002,3.72,1.2938,0.0025,0.0,44.985
6285.348188901,24.625,24.75,26.8125,60.1,0.6352000000000001,0.7168000000000001,3.7168,1.2938,-0.0025,-0.005,45.0525
6289.348190307,24.625,24.75,26.8125,59.6,0.5888000000000001,0.6672,3.7136000000000005,1.2938,-0.0025,-0.0025,45.1225
6293.348190395,24.625,24.75,26.8125,60.1,3.6528,3.6928,3.7136000000000005,1.2938,0.0025,-0.0025,45.05
