parsed_time,actual_time,delta_time,resets,cpu_temp_parsed,cpu_temp_actual,cpu_volt_parsed,cpu_volt_actual,cycle0_parsed,seq0_parsed,state0_parsed,mode0_parsed,cycle1_parsed,seq1_parsed,state1_parsed,mode1_parsed,cycle2_parsed,seq2_parsed,state2_parsed,mode2_parsed
21856.0,21856.168853506,0.1688535059984133,58,0.0,63.3,0.0,0.84,186,59,CHG,CYCLE,83,0,CHG,CYCLE,184,59,CHG,CYCLE
21920.0,21919.851194623,0.1488053770008264,58,0.0,63.3,0.0,0.84,246,119,CHG,CYCLE,83,0,CHG,CYCLE,184,119,CHG,CYCLE
21968.0,21968.375955632,0.37595563200011384,58,0.0,64.7,0.0,0.84,246,179,CHG,CYCLE,83,0,CHG,CYCLE,184,179,CHG,CYCLE
22032.0,22032.054084678,0.054084677998616826,58,0.0,63.3,0.0,0.84,3,239,CHG,CYCLE,84,0,CHG,CYCLE,184,239,CHG,CYCLE
22096.0,22095.724714208,0.2752857919986127,58,0.0,64.2,0.0,0.84,11,43,DIS,CYCLE,84,1,CHG,CYCLE,184,43,CHG,CYCLE
22160.0,22160.397789226,0.3977892260008957,58,0.0,65.2,0.0,0.84,19,103,DIS,CYCLE,84,1,CHG,CYCLE,184,103,CHG,CYCLE
22208.0,22207.913005912,0.08699408800021047,58,0.0,64.7,0.0,0.84,19,163,DIS,CYCLE,84,1,CHG,CYCLE,184,163,CHG,CYCLE
22272.0,22271.584362235,0.4156377649997012,58,0.0,63.7,0.0,0.84,246,223,DIS,CYCLE,83,1,CHG,CYCLE,184,223,CHG,CYCLE
22336.0,22336.266493116,0.266493115999765,58,0.0,62.3,0.0,0.84,11,27,REST,CYCLE,84,2,CHG,CYCLE,184,27,CHG,CYCLE
22400.0,22399.938376518,0.061623482000868535,58,0.0,63.7,0.0,0.84,246,88,REST,CYCLE,83,2,CHG,CYCLE,184,88,CHG,CYCLE
22448.0,22448.456145935,0.4561459350006771,58,0.0,64.2,0.0,0.84,218,147,REST,CYCLE,83,2,CHG,CYCLE,184,147,CHG,CYCLE
22512.0,22512.132491422,0.13249142199856578,58,0.0,63.7,0.0,0.84,11,207,REST,CYCLE,84,2,CHG,CYCLE,184,207,CHG,CYCLE
