time,cycle0,cycle1,cycle2,resets,time_switch0,time_switch1,time_switch2,test_seq0,test_seq1,test_seq2,state0,state1,state2,mode0,mode1,mode2,cpu_temp,cpu_volt
21856.0,186,83,184,58,0,0,59,59,0,59,CHG,CHG,CHG,CYCLE,CYCLE,CYCLE,0.0,0.0
21920.0,246,83,184,58,0,0,119,119,0,119,CHG,CHG,CHG,CYCLE,CYCLE,CYCLE,0.0,0.0
21968.0,246,83,184,58,0,0,179,179,0,179,CHG,CHG,CHG,CYCLE,CYCLE,CYCLE,0.0,0.0
22032.0,3,84,184,58,0,0,239,239,0,239,CHG,CHG,CHG,CYCLE,CYCLE,CYCLE,0.0,0.0
22096.0,11,84,184,58,0,0,299,43,1,43,DIS,CHG,CHG,CYCLE,CYCLE,CYCLE,0.0,0.0
22160.0,19,84,184,58,0,0,359,103,1,103,DIS,CHG,CHG,CYCLE,CYCLE,CYCLE,0.0,0.0
22208.0,19,84,184,58,0,0,419,163,1,163,DIS,CHG,CHG,CYCLE,CYCLE,CYCLE,0.0,0.0
22272.0,246,83,184,58,0,0,479,223,1,223,DIS,CHG,CHG,CYCLE,CYCLE,CYCLE,0.0,0.0
22336.0,11,84,184,58,0,0,539,27,2,27,REST,CHG,CHG,CYCLE,CYCLE,CYCLE,0.0,0.0
22400.0,246,83,184,58,0,0,600,88,2,88,REST,CHG,CHG,CYCLE,CYCLE,CYCLE,0.0,0.0
22448.0,218,83,184,58,0,0,659,147,2,147,REST,CHG,CHG,CYCLE,CYCLE,CYCLE,0.0,0.0
22512.0,11,84,184,58,0,0,719,207,2,207,REST,CHG,CHG,CYCLE,CYCLE,CYCLE,0.0,0.0
