Time (s),Temp0,Temp1,Temp2,Temp_CPU,Volt0,Volt1,Volt2,Volt_CPU,Curr0,Curr1,Curr2
177.341078387,21.0,21.4375,21.6875,47.8,4.0544,0.014399999999999998,3.8048,1.2875,0.0,-0.0025,-0.0025
182.341081996,20.9375,21.4375,21.6875,49.4,3.8848000000000003,0.0176,3.6448,1.2875,35.325,0.0,37.6825
187.341087153,20.875,21.375,21.6875,51.0,3.8608,0.016,3.6272,1.2875,37.52,-0.0025,39.5025
192.341094254,20.875,21.375,21.625,51.5,3.8384000000000005,0.016,3.616,1.2875,39.65,0.0025,39.97
197.341099609,20.875,21.3125,21.625,52.1,3.8288,0.016,3.6096,1.2875,39.82,-0.0025,39.825
202.341108344,20.875,21.25,21.625,52.1,3.8176,0.016,3.6048,1.2875,39.855,-0.005,40.045
207.341112834,20.875,21.25,21.6875,53.2,3.8096,0.0128,3.5951999999999997,1.2875,39.9425,-0.0025,40.19
212.341120707,20.875,21.25,21.6875,53.7,3.8,0.014399999999999998,3.592,1.2875,40.02,-0.0025,40.1425
217.34112948,20.9375,21.25,21.6875,53.7,3.7936000000000005,0.011200000000000002,3.5872,1.2875,40.08,-0.0025,40.265
222.34113332,20.9375,21.25,21.75,53.7,3.7904,0.0128,3.5872,1.2875,40.1025,0.0,40.255
227.341139496,21.0,21.3125,21.75,53.7,3.7840000000000003,0.0128,3.5824000000000003,1.2875,40.1825,0.0,40.3125
232.341141398,21.0,21.3125,21.8125,53.7,3.776,0.014399999999999998,3.5792,1.2875,40.28,-0.005,40.4025
237.342568163,21.0,21.3125,21.8125,54.2,3.7728,0.0128,3.5807999999999995,1.2875,40.2725,-0.0075,39.755
242.342577346,21.0625,21.3125,21.875,54.2,3.7696,3.9488000000000003,3.5776,1.2875,40.3925,0.0,39.9975
247.342581087,21.0625,21.375,21.9375,53.7,3.7663999999999995,3.4175999999999997,3.5744000000000002,1.2875,40.405,-0.0025,39.9425
252.34258639,21.125,21.375,22.0,53.7,3.7616000000000005,3.0048000000000004,3.5711999999999997,1.2875,40.3625,-0.0025,39.9375
257.342591415,21.125,21.4375,22.0,53.7,3.7568,2.664,3.5696,1.2875,40.4875,-0.005,39.9925
262.34259803,21.125,21.4375,22.0625,53.7,3.7536000000000005,2.3775999999999997,3.5696,1.2875,40.47,-0.0025,39.9425
267.342599311,21.1875,21.4375,22.125,53.7,3.7536000000000005,2.1311999999999998,3.5631999999999997,1.2875,40.0375,-0.0025,39.8975
272.342606246,21.1875,21.4375,22.1875,53.7,3.7504,1.9152,3.5631999999999997,1.2875,40.1,-0.0025,40.08
277.342606412,21.25,21.5,22.1875,54.2,3.7488,1.7264000000000002,3.5648,1.2875,40.1275,-0.0025,40.0975
282.342610013,21.25,21.5,22.25,55.3,3.7456,1.5615999999999999,3.5648,1.2875,40.135,0.0,40.1125
287.342614541,21.3125,21.5625,22.25,55.3,3.7440000000000007,1.4096000000000002,3.5631999999999997,1.2875,40.1725,0.0,40.1
292.342624344,21.3125,21.5,22.3125,55.3,3.7407999999999997,1.2752000000000001,3.5616000000000003,1.2875,40.2075,-0.005,40.095
297.342640784,21.3125,21.5,22.3125,55.8,3.7392000000000003,1.1616,3.5584000000000007,1.2875,40.21,0.0,40.06
302.342641977,21.3125,21.5,22.375,55.8,3.7376,1.0512000000000001,3.5584000000000007,1.2875,40.2275,0.0,40.1425
307.342646179,21.3125,21.5,22.375,55.8,3.7344,0.9615999999999999,3.5584000000000007,1.2875,40.2275,-0.0025,40.15
312.342654917,21.3125,21.5,22.4375,55.3,3.7328,0.8768,3.5584000000000007,1.2875,40.2375,0.0,40.1175
317.342655066,21.375,21.5625,22.5,55.8,3.7312,0.8032,3.5551999999999997,1.2875,40.28,-0.005,40.0425
322.342660781,21.4375,21.5625,22.5625,54.8,3.728,0.7343999999999999,3.5551999999999997,1.2875,40.275,0.0,40.3
327.342661729,21.4375,21.5625,22.625,55.8,3.7263999999999995,0.6751999999999999,3.5536000000000003,1.2875,40.31,-0.0025,40.1725
332.342664233,21.5,21.625,22.625,56.4,3.7248,0.6207999999999999,3.5536000000000003,1.2875,40.3375,-0.0025,40.16
337.342669291,21.5,21.625,22.625,55.8,3.7232,0.5712,3.5536000000000003,1.2875,40.32,-0.0025,40.1475
342.34267097,21.5,21.6875,22.6875,55.8,3.7216000000000005,0.5216000000000001,3.5536000000000003,1.2875,40.41,0.0,40.255
347.342672908,21.5,21.6875,22.6875,55.8,3.7216000000000005,0.48,3.5536000000000003,1.2875,40.39,0.0,40.1425
352.342673478,21.5,21.6875,22.6875,55.8,3.7184000000000004,0.44160000000000005,3.552,1.2875,40.405,-0.0025,40.1375
357.342680837,21.5,21.625,22.6875,56.9,3.7184000000000004,0.40800000000000003,3.552,1.2875,40.475,0.0,40.235
362.342682822,21.5,21.5625,22.6875,56.4,3.7152,4.24,3.5488000000000004,1.2875,40.395,-0.0075,40.15
367.342687839,21.5,21.625,22.75,56.9,3.7152,3.6224000000000003,3.5504000000000002,1.2875,40.495,-0.0025,40.1725
