Time (s),Temp0,Temp1,Temp2,Temp_CPU,Volt0,Volt1,Volt2,Volt_CPU,Curr0,Curr1,Curr2,Cyc0,Cyc1,Cyc2,Seq0,Seq1,Seq2,disval0,disval1,disval2,dislowval0,dislowval1,dislowval2,chgval0,chgval1,chgval2,chglowval0,chglowval1,chglowval2
25182.758393127,25.75,25.8125,28.5,60.1,0.0016,0.0016,3.808,1.2875,-0.0025,0.0,0.0,1,1,1,0,0,0,120,120,120,120,120,120,9,9,9,200,200,200
25185.758397408,25.75,25.8125,28.5,60.7,0.0032,0.0,3.9551999999999996,1.2875,0.0,0.0,-49.665,1,1,1,0,0,0,120,120,120,120,120,120,0,0,0,200,200,200
25188.758400551,25.75,25.8125,28.5,61.2,0.0016,0.0,3.9584000000000006,1.2875,-0.0025,-0.0025,-49.6775,1,1,1,0,0,0,120,120,120,120,120,120,0,0,0,200,200,200
25191.758404169,25.75,25.8125,28.5,61.8,0.0016,0.0,3.9631999999999996,1.2875,0.0,0.0,-49.6725,1,1,1,0,0,0,120,120,120,120,120,120,0,0,0,200,200,200
25194.758408001,25.75,25.8125,28.4375,62.3,0.0032,0.0016,3.9631999999999996,1.2875,0.0,-0.005,-48.78,1,1,1,0,0,0,120,120,120,120,120,120,0,0,1,200,200,200
25197.758409861,25.6875,25.8125,28.4375,62.3,0.0016,0.0016,3.9648000000000003,1.2875,0.0025,-0.0025,-48.78,1,1,1,0,0,0,120,120,120,120,120,120,0,0,1,200,200,200
25200.758413342,25.75,25.8125,28.4375,62.3,0.0032,0.0,3.968,1.2875,-0.0025,0.0,-48.7825,1,1,1,0,0,0,120,120,120,120,120,120,0,0,1,200,200,200
25203.758414068,25.6875,25.75,28.4375,61.2,0.0032,0.0,3.9663999999999997,1.2875,0.0,0.0,-47.9375,1,1,1,0,0,0,120,120,120,120,120,120,0,0,2,200,200,200
25206.758415426,25.6875,25.8125,28.4375,62.3,0.0016,0.0,3.968,1.2875,0.0,-0.0025,-47.94,1,1,1,0,0,0,120,120,120,120,120,120,0,0,2,200,200,200
25209.75841679,25.6875,25.8125,28.4375,62.3,0.0016,0.0,3.9696000000000002,1.2875,0.0,-0.0025,-47.93,1,1,1,0,0,0,120,120,120,120,120,120,0,0,2,200,200,200
25212.758419463,25.6875,25.75,28.4375,62.3,0.0032,0.0,3.9696000000000002,1.2875,-0.0025,-0.005,-47.1125,1,1,1,0,0,0,120,120,120,120,120,120,0,0,3,200,200,200
25215.758420006,25.6875,25.8125,28.4375,62.8,0.0032,0.0016,3.968,1.2875,-0.0025,-0.0025,-47.115,1,1,1,0,0,0,120,120,120,120,120,120,0,0,3,200,200,200
25218.758420504,25.6875,25.75,28.5,63.4,0.0016,0.0016,3.9696000000000002,1.2875,0.0,0.0,-47.1175,1,1,1,0,0,0,120,120,120,120,120,120,0,0,3,200,200,200
25221.758423247,25.6875,25.75,28.5,62.3,0.0032,0.0016,3.9696000000000002,1.2875,0.0025,-0.0025,-46.32,1,1,1,0,0,0,120,120,120,120,120,120,0,0,4,200,200,200
25224.758425996,25.6875,25.75,28.5,62.8,0.0032,0.0016,3.968,1.2875,-0.0025,-0.0025,-46.33,1,1,1,0,0,0,120,120,120,120,120,120,0,0,4,200,200,200
25227.758430417,25.6875,25.75,28.5,62.8,0.0016,0.0016,3.9728000000000003,1.2875,0.0,-0.005,-46.3225,1,1,1,0,0,0,120,120,120,120,120,120,0,0,4,200,200,200
25230.758431929,25.6875,25.75,28.5,62.3,0.0048,0.0032,3.968,1.2875,-0.0025,-0.0025,-45.555,1,1,1,0,0,0,120,120,120,120,120,120,0,0,5,200,200,200
25233.758434592,25.6875,25.75,28.5,62.3,0.0016,0.0,3.9696000000000002,1.2875,-0.0025,-0.0025,-45.5475,1,1,1,0,0,0,120,120,120,120,120,120,0,0,5,200,200,200
25236.758437573,25.6875,25.75,28.5,63.4,0.0048,0.0016,3.9711999999999996,1.2875,0.0,0.0,-45.5525,1,1,1,0,0,0,120,120,120,120,120,120,0,0,5,200,200,200
25239.758437748,25.6875,25.75,28.5,62.3,0.0048,0.0,3.9711999999999996,1.2875,-0.0025,-0.005,-44.8175,1,1,1,0,0,0,120,120,120,120,120,120,0,0,6,200,200,200
25242.758441991,25.6875,25.75,28.5,62.3,0.0048,0.0016,3.968,1.2875,0.0,0.0,-44.815,1,1,1,0,0,0,120,120,120,120,120,120,0,0,6,200,200,200
25245.758444261,25.6875,25.75,28.5,62.3,0.0032,0.0016,3.9696000000000002,1.2875,-0.005,0.0,-44.8175,1,1,1,0,0,0,120,120,120,120,120,120,0,0,6,200,200,200
25248.758446172,25.6875,25.75,28.5,63.4,0.0032,0.0016,3.968,1.2875,0.0,0.0,-44.0975,1,1,1,0,0,0,120,120,120,120,120,120,0,0,7,200,200,200
25251.758446214,25.6875,25.75,28.5,63.4,0.0032,0.0032,3.9696000000000002,1.2875,0.0,-0.0025,-44.09,1,1,1,0,0,0,120,120,120,120,120,120,0,0,7,200,200,200
25254.758448969,25.625,25.6875,28.5,62.3,0.0048,0.0016,3.9696000000000002,1.2875,0.0,-0.0025,-44.0875,1,1,1,0,0,0,120,120,120,120,120,120,0,0,7,200,200,200
25257.758453241,25.6875,25.6875,28.5,62.8,0.0016,0.0016,3.9648000000000003,1.2875,0.0,0.0,-43.3975,1,1,1,0,0,0,120,120,120,120,120,120,0,0,8,200,200,200
25260.758455592,25.6875,25.6875,28.5,62.8,0.0016,0.0,3.9663999999999997,1.2875,0.0025,0.0,-43.3975,1,1,1,0,0,0,120,120,120,120,120,120,0,0,8,200,200,200
25263.758455761,25.625,25.6875,28.5625,62.8,0.0048,0.0016,3.968,1.2875,0.0,-0.0025,-43.395,1,1,1,0,0,0,120,120,120,120,120,120,0,0,8,200,200,200
25266.758457185,25.6875,25.6875,28.5625,63.4,0.0032,0.0032,3.9663999999999997,1.2875,-0.0025,0.0,-42.7225,1,1,1,0,0,0,120,120,120,120,120,120,0,0,9,200,200,200
25269.758458979,25.625,25.6875,28.5625,63.4,0.0032,0.0032,3.9648000000000003,1.2875,0.0,-0.005,-42.7125,1,1,1,0,0,0,120,120,120,120,120,120,0,0,9,200,200,200
25272.758459633,25.6875,25.6875,28.5,63.4,0.0032,0.0016,3.9663999999999997,1.2875,0.0025,-0.005,-42.72,1,1,1,0,0,0,120,120,120,120,120,120,0,0,9,200,200,200
25275.758460189,25.6875,25.6875,28.5625,63.4,0.0032,0.0,3.9631999999999996,1.2875,0.0025,-0.0025,-42.0625,1,1,1,0,0,0,120,120,120,120,120,120,0,0,10,200,200,200
25278.758460281,25.6875,25.6875,28.5625,62.3,0.0016,0.0016,3.9663999999999997,1.2875,0.0,-0.0025,-42.0625,1,1,1,0,0,0,120,120,120,120,120,120,0,0,10,200,200,200
25281.758460431,25.6875,25.6875,28.5625,63.4,0.0016,0.0032,3.9663999999999997,1.2875,-0.0025,-0.005,-42.065,1,1,1,0,0,0,120,120,120,120,120,120,0,0,10,200,200,200
