Time (s),Temp0,Temp1,Temp2,Temp_CPU,Volt0,Volt1,Volt2,Volt_CPU,Curr0,Curr1,Curr2,Cyc0,Cyc1,Cyc2,Seq0,Seq1,Seq2,disval0,disval1,disval2,dislowval0,dislowval1,dislowval2,chgval0,chgval1,chgval2,chglowval0,chglowval1,chglowval2
24954.106236064,25.5,25.5,27.8125,60.1,0.0016,0.0016,3.7552,1.2875,0.0025,-0.005,0.0025,1,1,1,0,0,0,120,120,120,120,120,120,9,9,9,200,200,200
24957.106237738,25.5,25.5,27.8125,60.1,0.0016,0.0,3.9088000000000003,1.2875,0.0,-0.0025,-49.68,1,1,1,0,0,0,120,120,120,120,120,120,0,0,0,200,200,200
24960.106239683,25.5,25.5,27.75,61.2,0.0016,0.0032,3.9136,1.2875,-0.0025,-0.0025,-49.6725,1,1,1,0,0,0,120,120,120,120,120,120,0,0,0,200,200,200
24963.106240596,25.5,25.4375,27.75,61.8,0.0016,0.0032,3.92,1.2875,-0.0025,-0.0025,-49.6725,1,1,1,0,0,0,120,120,120,120,120,120,0,0,0,200,200,200
24966.106241728,25.5,25.4375,27.8125,62.3,0.0016,0.0016,3.9263999999999997,1.2875,-0.0025,0.0,-49.6775,1,1,1,0,0,0,120,120,120,120,120,120,0,0,0,200,200,200
24969.106243755,25.5,25.4375,27.8125,61.2,0.0016,0.0,3.9296,1.2875,0.0,-0.005,-49.6725,1,1,1,0,0,0,120,120,120,120,120,120,0,0,0,200,200,200
24972.106247147,25.5,25.4375,27.875,61.2,0.0032,0.0,3.9296,1.2875,0.0,0.0,-48.7925,1,1,1,0,0,0,120,120,120,120,120,120,0,0,1,200,200,200
24975.106250756,25.5,25.4375,27.9375,61.8,0.0048,0.0016,3.9344,1.2875,-0.0025,-0.0025,-48.79,1,1,1,0,0,0,120,120,120,120,120,120,0,0,1,200,200,200
24978.106253698,25.4375,25.4375,27.9375,62.3,0.0,0.0032,3.9375999999999998,1.2875,0.0,-0.0025,-48.785,1,1,1,0,0,0,120,120,120,120,120,120,0,0,1,200,200,200
24981.106256963,25.4375,25.4375,27.9375,62.3,0.0032,0.0016,3.9408,1.2875,0.0025,0.0,-48.7825,1,1,1,0,0,0,120,120,120,120,120,120,0,0,1,200,200,200
24984.106257841,25.4375,25.4375,28.0,62.3,0.0032,0.0,3.9392000000000005,1.2875,0.0025,0.0,-48.785,1,1,1,0,0,0,120,120,120,120,120,120,0,0,1,200,200,200
24987.10626149,25.4375,25.4375,28.0,62.3,0.0048,0.0,3.9424,1.2875,0.0025,-0.0025,-47.9475,1,1,1,0,0,0,120,120,120,120,120,120,0,0,2,200,200,200
24990.106265513,25.4375,25.4375,28.0,61.2,0.0016,0.0016,3.9440000000000004,1.2875,-0.0025,-0.005,-47.9425,1,1,1,0,0,0,120,120,120,120,120,120,0,0,2,200,200,200
24993.106267201,25.4375,25.4375,28.0,61.2,0.0016,0.0016,3.9455999999999998,1.2875,0.0025,-0.0025,-47.945,1,1,1,0,0,0,120,120,120,120,120,120,0,0,2,200,200,200
24996.106269785,25.4375,25.4375,28.0625,62.3,0.0016,0.0016,3.9455999999999998,1.2875,0.0025,-0.0025,-47.945,1,1,1,0,0,0,120,120,120,120,120,120,0,0,2,200,200,200
24999.106271752,25.4375,25.4375,28.0625,62.3,0.0016,0.0,3.9488000000000003,1.2875,0.0,0.0,-47.9475,1,1,1,0,0,0,120,120,120,120,120,120,0,0,2,200,200,200
25002.106271907,25.4375,25.4375,28.125,62.3,0.0016,0.0016,3.9472000000000005,1.2875,0.0025,-0.0025,-47.1175,1,1,1,0,0,0,120,120,120,120,120,120,0,0,3,200,200,200
25005.106273581,25.4375,25.4375,28.125,62.3,0.0016,0.0,3.9504,1.2875,-0.005,-0.0025,-47.12,1,1,1,0,0,0,120,120,120,120,120,120,0,0,3,200,200,200
