Time (s),Temp0,Temp1,Temp2,Temp_CPU,Volt0,Volt1,Volt2,Volt_CPU,Curr0,Curr1,Curr2,Cyc0,Cyc1,Cyc2,Seq0,Seq1,Seq2,disval0,disval1,disval2,dislowval0,dislowval1,dislowval2,chgval0,chgval1,chgval2,chglowval0,chglowval1,chglowval2
20789.21232427,25.6875,25.625,27.3125,59.1,0.0016,0.0032,3.8416000000000006,1.2875,0.0025,-0.0025,0.0025,1,1,1,0,0,0,120,120,120,120,120,120,9,9,9,200,200,200
20793.212329085,25.6875,25.6875,27.3125,58.5,0.0048,0.0,3.8288,1.2875,0.0,-0.005,3.97,1,1,1,0,0,0,120,120,0,120,120,120,0,0,8,200,200,200
20797.212330788,25.6875,25.6875,27.3125,60.1,0.0048,0.0016,3.8256,1.2875,0.005,0.0025,4.03,1,1,1,0,0,0,120,120,0,120,120,120,0,0,8,200,200,200
20801.212331254,25.75,25.6875,27.3125,60.1,0.0032,0.0016,3.8272000000000004,1.2875,0.0,0.0,4.14,1,1,1,0,0,0,120,120,0,120,120,120,0,0,8,200,200,200
20805.212334752,25.75,25.75,27.3125,60.1,0.0032,0.0,3.8256,1.2875,0.0075,0.0025,4.2025,1,1,1,0,0,0,120,120,1,120,120,120,0,0,8,200,200,200
20809.212334979,25.6875,25.6875,27.3125,60.1,0.0048,0.0,3.8256,1.2875,0.0,-0.0025,4.2125,1,1,1,0,0,0,120,120,1,120,120,120,0,0,8,200,200,200
20813.212339331,25.6875,25.6875,27.25,60.1,0.0032,0.0,3.8256,1.2875,0.0,-0.005,4.1175,1,1,1,0,0,0,120,120,1,120,120,120,0,0,8,200,200,200
20817.212342858,25.6875,25.6875,27.25,62.8,0.0032,0.0032,3.8240000000000003,1.2875,0.0,0.0,4.2,1,1,1,0,0,0,120,120,1,120,120,120,0,0,8,200,200,200
20821.212347069,25.6875,25.6875,27.3125,64.5,0.0032,0.0016,3.8240000000000003,1.2875,0.0,0.0,4.32,1,1,1,0,0,0,120,120,2,120,120,120,0,0,8,200,200,200
20825.212352018,25.6875,25.625,27.3125,64.5,0.0048,0.0,3.8224,1.2875,-0.0025,-0.0025,4.3575,1,1,1,0,0,0,120,120,2,120,120,120,0,0,8,200,200,200
20829.212359888,25.6875,25.625,27.25,65.5,0.0048,0.0032,3.8224,1.2875,-0.0025,0.0,4.2525,1,1,1,0,0,0,120,120,2,120,120,120,0,0,8,200,200,200
20833.212363286,25.6875,25.625,27.3125,66.6,0.0048,0.0032,3.8224,1.2875,-0.0025,-0.0025,4.335,1,1,1,0,0,0,120,120,2,120,120,120,0,0,8,200,200,200
20837.212366218,25.6875,25.625,27.3125,64.5,0.0048,0.0,3.8224,1.2875,0.0,0.0,4.595,1,1,1,0,0,0,120,120,3,120,120,120,0,0,8,200,200,200
20841.212368998,25.6875,25.6875,27.3125,63.9,0.0048,0.0032,3.8224,1.2875,0.0,0.0,4.545,1,1,1,0,0,0,120,120,3,120,120,120,0,0,8,200,200,200
20845.212373604,25.6875,25.6875,27.3125,62.3,0.0048,0.0016,3.8224,1.2875,0.0025,0.005,4.61,1,1,1,0,0,0,120,120,3,120,120,120,0,0,8,200,200,200
20849.212376233,25.6875,25.6875,27.3125,62.3,0.0064,0.0032,3.8207999999999998,1.2875,-0.0025,-0.005,4.43,1,1,1,0,0,0,120,120,3,120,120,120,0,0,8,200,200,200
20853.212378289,25.6875,25.6875,27.3125,62.3,0.0064,0.0032,3.8224,1.2875,-0.0025,-0.0025,4.555,1,1,1,0,0,0,120,120,4,120,120,120,0,0,8,200,200,200
20857.212378732,25.6875,25.6875,27.3125,62.3,0.0064,0.0016,3.8192000000000004,1.2875,-0.0025,0.0,4.5725,1,1,1,0,0,0,120,120,4,120,120,120,0,0,8,200,200,200
20861.212379434,25.6875,25.6875,27.3125,62.3,0.0048,0.0032,3.8192000000000004,1.2875,-0.0025,-0.005,4.775,1,1,1,0,0,0,120,120,4,120,120,120,0,0,8,200,200,200
20865.212383312,25.6875,25.6875,27.3125,62.8,0.0048,0.0016,3.8207999999999998,1.2875,-0.0025,0.0025,4.9125,1,1,1,0,0,0,120,120,5,120,120,120,0,0,8,200,200,200
20869.212383698,25.75,25.6875,27.375,62.3,0.0064,0.0016,3.8192000000000004,1.2875,0.0025,-0.0025,4.94,1,1,1,0,0,0,120,120,5,120,120,120,0,0,8,200,200,200
20873.212385332,25.6875,25.6875,27.375,62.3,0.0048,0.0016,3.8192000000000004,1.2875,0.0,-0.0025,4.84,1,1,1,0,0,0,120,120,5,120,120,120,0,0,8,200,200,200
20877.212388993,25.75,25.6875,27.375,62.3,0.0032,0.0032,3.8176,1.2875,-0.0025,-0.0025,4.625,1,1,1,0,0,0,120,120,5,120,120,120,0,0,8,200,200,200
20881.212392337,25.75,25.6875,27.375,62.3,0.0048,0.0016,3.8176,1.2875,0.0025,0.0,4.7975,1,1,1,0,0,0,120,120,6,120,120,120,0,0,8,200,200,200
20885.212396977,25.75,25.6875,27.375,61.2,0.0048,0.0032,3.816,1.2875,0.0,-0.0025,4.89,1,1,1,0,0,0,120,120,6,120,120,120,0,0,8,200,200,200
20889.212399997,25.75,25.75,27.375,62.3,0.0064,0.0016,3.8192000000000004,1.2875,-0.0025,0.0,4.8425,1,1,1,0,0,0,120,120,6,120,120,120,0,0,8,200,200,200
20893.21240051,25.75,25.6875,27.375,61.2,0.0032,0.0,3.8176,1.2875,0.0025,0.0,4.88,1,1,1,0,0,0,120,120,6,120,120,120,0,0,8,200,200,200
20897.212403516,25.6875,25.6875,27.4375,61.2,0.0048,0.0016,3.8176,1.2875,0.0025,-0.0025,4.9925,1,1,1,0,0,0,120,120,7,120,120,120,0,0,8,200,200,200
20901.212407399,25.6875,25.6875,27.4375,61.8,0.0032,0.0,3.816,1.2875,0.0,-0.005,5.015,1,1,1,0,0,0,120,120,7,120,120,120,0,0,8,200,200,200
