Time (s),Temp0,Temp1,Temp2,Temp_CPU,Volt0,Volt1,Volt2,Volt_CPU,Curr0,Curr1,Curr2,Cyc0,Cyc1,Cyc2,Seq0,Seq1,Seq2,disval0,disval1,disval2,dislowval0,dislowval1,dislowval2,chgval0,chgval1,chgval2,chglowval0,chglowval1,chglowval2
4679.985528575,25.75,25.75,27.0625,56.4,0.0016,0.0,3.9296,1.3062,-0.005,0.0,0.0025,1,1,1,0,0,0,120,120,120,120,120,120,9,9,9,200,200,200
4682.985531868,25.75,25.75,27.0625,58.5,0.0016,0.0,3.9296,1.3062,0.0025,0.0,0.0025,1,1,1,0,0,0,120,120,120,120,120,120,0,0,9,200,200,200
4685.985533904,25.75,25.75,27.0625,59.1,0.0016,0.0016,3.9312,1.3062,0.0025,-0.0025,-0.0025,1,1,1,0,0,0,120,120,120,120,120,120,0,0,9,200,200,200
4688.985536452,25.75,25.75,27.0625,59.1,0.0032,0.0,3.928,1.3062,-0.0025,-0.0025,0.005,1,1,1,0,0,0,120,120,120,120,120,120,0,0,9,200,200,200
4691.985539199,25.75,25.75,27.0,59.1,0.0032,0.0,3.9312,1.3062,0.0025,0.0025,0.0025,1,1,1,0,0,0,120,120,120,120,120,120,0,0,9,200,200,200
4694.985540791,25.75,25.75,27.0,59.6,0.0032,0.0016,3.9312,1.3062,0.0,-0.0025,0.0,1,1,1,0,0,0,120,120,120,120,120,120,0,0,9,200,200,200
4697.985542791,25.75,25.75,27.0,60.7,0.0016,0.0,3.9296,1.3062,0.0,0.0,0.0025,1,1,1,0,0,0,120,120,120,120,120,120,0,0,9,200,200,200
4700.985546604,25.75,25.75,27.0,60.1,0.0016,0.0016,3.9312,1.3062,0.0025,0.0,0.0,1,1,1,0,0,0,120,120,120,120,120,120,0,0,9,200,200,200
4703.985549938,25.75,25.6875,27.0,60.1,0.0032,0.0,3.9312,1.3062,0.0025,0.0,0.0,1,1,1,0,0,0,120,120,120,120,120,120,0,0,9,200,200,200
4706.985553992,25.75,25.75,27.0,60.1,0.0032,0.0016,3.9312,1.3062,-0.0025,-0.0025,-0.0025,1,1,1,0,0,0,120,120,120,120,120,120,0,0,9,200,200,200
4709.985557254,25.8125,25.75,27.0,60.1,0.0016,0.0016,3.9296,1.3062,0.0,0.0,0.0,1,1,1,0,0,0,120,120,120,120,120,120,0,0,9,200,200,200
4712.985557588,25.8125,25.75,27.0,59.6,0.0016,0.0,3.9312,1.3062,0.0,-0.0025,0.005,1,1,1,0,0,0,120,120,120,120,120,120,0,0,9,200,200,200
4715.985561506,25.8125,25.75,27.0625,60.1,0.0016,0.0,3.9296,1.3062,0.0025,0.0,0.005,1,1,1,0,0,0,120,120,120,120,120,120,0,0,9,200,200,200
4718.98556161,25.8125,25.8125,27.0625,61.2,0.0032,0.0032,3.9312,1.3062,-0.0025,-0.005,0.005,1,1,1,0,0,0,120,120,120,120,120,120,0,0,9,200,200,200
4721.985563943,25.8125,25.8125,27.0,60.1,0.0016,0.0032,3.9296,1.3062,0.0025,-0.0025,0.0025,1,1,1,0,0,0,120,120,120,120,120,120,0,0,9,200,200,200
4724.985567774,25.8125,25.8125,27.0,60.1,0.0032,0.0016,3.9296,1.3062,0.0,0.0,0.0,1,1,1,0,0,0,120,120,120,120,120,120,0,0,9,200,200,200
4727.985568365,25.8125,25.8125,27.0,61.2,0.0016,0.0016,3.9328000000000003,1.3062,0.0025,-0.0025,-0.0025,1,1,1,0,0,0,120,120,120,120,120,120,0,0,9,200,200,200
4730.985568944,25.75,25.8125,27.0,61.2,0.0032,0.0032,3.9312,1.3062,0.0,-0.0025,0.0025,1,1,1,0,0,0,120,120,120,120,120,120,0,0,9,200,200,200
4733.985569875,25.8125,25.8125,27.0,60.7,0.0032,0.0016,3.9296,1.3062,0.0,-0.0025,0.0025,1,1,1,0,0,0,120,120,120,120,120,120,0,0,9,200,200,200
4736.985571001,25.75,25.75,27.0,61.8,0.0048,0.0016,3.9312,1.3062,-0.0025,-0.0025,-0.0025,1,1,1,0,0,0,120,120,120,120,120,120,0,0,9,200,200,200
4739.985572116,25.75,25.6875,27.0,61.2,0.0016,0.0016,3.9312,1.3062,-0.0025,0.0025,0.0025,1,1,1,0,0,0,120,120,120,120,120,120,0,0,9,200,200,200
4742.985575248,25.6875,25.6875,27.0,60.7,0.0048,0.0016,3.7968,1.3062,0.0,-0.005,44.6675,1,1,1,0,0,0,120,120,144,120,120,120,0,0,9,200,200,200
4745.985578992,25.6875,25.6875,26.9375,60.7,0.0048,0.0,3.7904,1.3062,-0.0025,-0.0025,44.6775,1,1,1,0,0,0,120,120,144,120,120,120,0,0,9,200,200,200
4748.985580119,25.6875,25.6875,27.0,61.2,0.0048,0.0032,3.7824,1.3062,0.0,-0.0025,44.7425,1,1,1,0,0,0,120,120,144,120,120,120,0,0,9,200,200,200
4751.985582221,25.6875,25.6875,27.0,60.7,0.0032,0.0,3.7776,1.3062,-0.0025,-0.005,44.8975,1,1,1,0,0,0,120,120,144,120,120,120,0,0,9,200,200,200
4754.98558431,25.6875,25.625,27.0,61.2,0.0064,0.0,3.7744,1.3062,-0.0025,0.0,45.0,1,1,1,0,0,0,120,120,144,120,120,120,0,0,9,200,200,200
4757.985587166,25.6875,25.625,27.0,61.8,0.0048,0.0,3.7663999999999995,1.3062,0.0025,-0.0025,45.0725,1,1,1,0,0,0,120,120,144,120,120,120,0,0,9,200,200,200
4760.985589435,25.6875,25.625,27.0,61.8,0.0032,0.0,3.7648,1.3062,0.0025,-0.0025,45.0725,1,1,1,0,0,0,120,120,144,120,120,120,0,0,9,200,200,200
4763.98558971,25.625,25.625,27.0,61.2,0.0048,0.0016,3.76,1.3062,0.0,0.0,45.1225,1,1,1,0,0,0,120,120,144,120,120,120,0,0,9,200,200,200
4766.985590491,25.625,25.625,26.9375,60.7,0.0032,0.0016,3.7568,1.3062,0.0,-0.005,45.29,1,1,1,0,0,0,120,120,144,120,120,120,0,0,9,200,200,200
4769.985593809,25.625,25.5625,27.0,61.2,0.0048,0.0016,3.752,1.3062,0.0,0.0025,45.0875,1,1,1,0,0,0,120,120,144,120,120,120,0,0,9,200,200,200
4772.985594404,25.625,25.5625,27.0,61.8,0.0048,0.0,3.7504,1.3062,-0.0025,0.0,45.15,1,1,1,0,0,0,120,120,144,120,120,120,0,0,9,200,200,200
4775.985594619,25.625,25.5625,27.0,61.8,0.0048,0.0032,3.7472000000000003,1.3062,0.0025,0.0,45.2525,1,1,1,0,0,0,120,120,144,120,120,120,0,0,9,200,200,200
4778.985594662,25.625,25.5625,27.0,61.8,0.0064,0.0016,3.7456,1.3062,-0.0025,0.0,45.3175,1,1,1,0,0,0,120,120,144,120,120,120,0,0,9,200,200,200
4781.985596668,25.625,25.5,27.0625,62.3,0.0048,0.0032,3.7424,1.3062,0.0,0.0025,45.31,1,1,1,0,0,0,120,120,144,120,120,120,0,0,9,200,200,200
4784.985600742,25.5625,25.5,27.0625,62.3,0.0048,0.0032,3.7424,1.3062,0.0025,0.0,45.345,1,1,1,0,0,0,120,120,144,120,120,120,0,0,9,200,200,200
4787.985603237,25.5625,25.5,27.0625,62.3,0.0048,0.0032,3.736,1.3062,-0.0025,0.0,45.375,1,1,1,0,0,0,120,120,144,120,120,120,0,0,9,200,200,200
4790.985603788,25.5,25.5,27.125,62.3,0.0048,0.0016,3.7344,1.3062,-0.0025,-0.005,45.45,1,1,1,0,0,0,120,120,144,120,120,120,0,0,9,200,200,200
4793.985606458,25.5625,25.5,27.125,62.3,0.008,0.0032,3.736,1.3062,0.0025,-0.0025,45.33,1,1,1,0,0,0,120,120,144,120,120,120,0,0,9,200,200,200
4796.985609528,25.5625,25.5,27.125,62.3,0.0064,0.0016,3.7328,1.3062,0.0,-0.005,44.955,1,1,1,0,0,0,120,120,143,120,120,120,0,0,9,200,200,200
4799.985611643,25.5625,25.5625,27.1875,62.3,0.0048,0.0016,3.7328,1.3062,-0.0025,0.0,45.0925,1,1,1,0,0,0,120,120,143,120,120,120,0,0,9,200,200,200
4802.985611658,25.5625,25.5625,27.125,62.8,0.0048,0.0032,3.7296,1.3062,0.0,-0.0025,44.9625,1,1,1,0,0,0,120,120,143,120,120,120,0,0,9,200,200,200
4805.985614416,25.625,25.5625,27.125,63.4,0.0064,0.0032,3.7296,1.3062,0.0,-0.005,44.99,1,1,1,0,0,0,120,120,143,120,120,120,0,0,9,200,200,200
4808.985616322,25.625,25.5625,27.1875,61.8,0.0048,0.0032,3.7296,1.3062,0.0,0.0,45.045,1,1,1,0,0,0,120,120,143,120,120,120,0,0,9,200,200,200
4811.985618315,25.625,25.625,27.1875,61.8,0.0064,0.0016,3.7263999999999995,1.3062,-0.0025,0.0,45.01,1,1,1,0,0,0,120,120,143,120,120,120,0,0,9,200,200,200
4814.985619873,25.625,25.625,27.1875,62.3,0.0064,0.0032,3.7248,1.3062,0.0025,-0.0025,44.955,1,1,1,0,0,0,120,120,143,120,120,120,0,0,9,200,200,200
4817.98562032,25.6875,25.625,27.1875,62.3,0.0032,0.0,3.7232,1.3062,-0.0025,0.0,45.0425,1,1,1,0,0,0,120,120,143,120,120,120,0,0,9,200,200,200
4820.985623508,25.625,25.625,27.125,62.3,0.0048,0.0016,3.7232,1.3062,0.0,-0.0025,45.155,1,1,1,0,0,0,120,120,143,120,120,120,0,0,9,200,200,200
4823.985624906,25.625,25.625,27.125,61.8,0.0064,0.0016,3.7216000000000005,1.3062,0.0,-0.0075,45.0325,1,1,1,0,0,0,120,120,143,120,120,120,0,0,9,200,200,200
