Time (s),Temp0,Temp1,Temp2,Temp_CPU,Volt0,Volt1,Volt2,Volt_CPU,Curr0,Curr1,Curr2
3030.755549857,21.5,21.6875,23.375,53.7,0.0064,0.0064,3.7807999999999997,1.2875,0.0025,-0.0025,-0.0025
3035.755552208,21.4375,21.6875,23.3125,54.8,0.0096,0.008,3.6368,1.2875,0.0025,0.0025,37.5325
3040.755558213,21.4375,21.6875,23.3125,55.8,0.0064,0.0048,3.6207999999999996,1.2875,0.0,0.0,39.295
3045.755565685,21.4375,21.6875,23.3125,55.8,0.008,0.0048,3.608,1.2875,0.0025,-0.0025,40.1175
3050.755569832,21.4375,21.6875,23.3125,55.8,0.008,0.0048,3.6016000000000004,1.2875,0.0025,-0.0025,40.0275
3055.755569977,21.4375,21.6875,23.3125,55.8,0.0064,0.0064,3.7536000000000005,1.2875,-0.0025,-0.0025,0.0
3060.755578101,21.4375,21.75,23.3125,55.8,0.0064,0.0048,3.76,1.2875,0.0,-0.0025,0.005
3065.755578787,21.5,21.75,23.3125,56.9,3.9663999999999997,3.9455999999999998,3.7632,1.2875,0.0,0.0,0.0
3070.755585109,21.5,21.8125,23.375,56.9,3.4175999999999997,3.416,3.7663999999999995,1.2875,0.0,0.0,0.0025
3075.755596337,21.5,21.8125,23.4375,57.5,2.992,3.0016000000000003,3.7696,1.2875,0.0,-0.0025,0.0025
3080.755597992,21.5,21.8125,23.4375,56.9,2.6448,2.664,3.768,1.2875,0.0,0.0,0.0025
3085.755600441,21.5,21.8125,23.4375,58.0,2.3536000000000006,2.3775999999999997,3.9296,1.2875,0.0025,-0.0025,-41.43
3090.757258939,21.4375,21.75,23.4375,58.0,2.1071999999999997,2.1328,3.9375999999999998,1.2875,0.0,-0.005,-40.21
3095.757267506,21.5,21.8125,23.4375,58.0,1.2544000000000002,1.2784,3.9424,1.2875,-0.0025,-0.005,-40.205
3100.757267804,21.4375,21.75,23.5,58.0,1.144,1.168,3.9504,1.2875,0.0,0.0,-40.2025
3105.757268324,21.4375,21.75,23.5625,58.5,1.0415999999999999,1.0688,3.9584000000000006,1.2875,-0.0025,0.0,-40.1975
3110.757268805,21.5,21.75,23.625,58.0,0.9472,0.9743999999999999,3.9616000000000002,1.2875,-0.0025,0.0,-40.2025
3115.757270654,21.4375,21.6875,23.6875,58.5,0.8608,0.8864,3.9648000000000003,1.2875,0.0025,-0.0025,-40.205
3120.757278559,21.4375,21.6875,23.6875,58.5,0.7872,0.8128,3.9696000000000002,1.2875,0.0,-0.0025,-40.2
3125.757284448,21.4375,21.6875,23.6875,58.5,4.2752,4.2432,3.9711999999999996,1.2875,-0.0025,-0.0025,-40.2
3130.757288268,21.5,21.6875,23.75,58.0,3.6336000000000004,3.6272,3.976,1.2875,0.0,-0.005,-40.2075
3135.757295801,21.5,21.6875,23.75,58.5,3.1648,3.1744,3.9792,1.2875,-0.0025,0.0,-40.21
3140.757299288,21.5,21.6875,23.8125,58.0,2.7904,2.8048,3.9824,1.2875,0.0,-0.0025,-40.2075
3145.757299666,21.4375,21.6875,23.8125,58.0,2.4752,2.4976000000000003,3.9840000000000004,1.2875,-0.0025,-0.0025,-40.205
3150.757303237,21.4375,21.625,23.8125,58.5,2.2096,2.2352000000000003,3.9856,1.2875,0.0025,-0.005,-40.205
3155.757312397,21.375,21.5625,23.8125,58.0,1.9792000000000003,2.0096000000000003,3.9904,1.2875,-0.005,-0.005,-40.2025
3160.757317565,21.375,21.5625,23.8125,58.0,1.1872,1.2096000000000002,3.9888000000000003,1.2875,-0.0025,-0.0025,-40.2025
