Time (s),Temp0,Temp1,Temp2,Temp_CPU,Volt0,Volt1,Volt2,Volt_CPU,Curr0,Curr1,Curr2
285.516437869,24.0,24.3125,24.875,49.4,3.7807999999999997,0.0032,3.7856,1.2875,0.0,-0.0025,0.0025
290.516443697,24.0,24.375,24.875,49.4,3.6144000000000003,0.0032,3.6431999999999998,1.2875,37.8075,0.0,37.615
295.516450185,24.0,24.375,24.875,50.5,3.592,0.0032,3.6256,1.2875,39.99,0.0025,39.7275
300.516458288,24.0625,24.4375,24.9375,51.0,3.5824000000000003,0.0016,3.6176,1.2875,40.1675,-0.005,39.8825
305.913941463,24.0625,24.4375,24.9375,51.0,3.5824000000000003,0.0016,3.6176,1.2875,40.1675,-0.005,39.8825
310.913942856,24.125,24.5,25.0,50.5,3.5696,0.0016,3.6048,1.2875,40.3725,0.0,40.0025
315.913945481,24.125,24.5,25.0,52.1,3.5631999999999997,0.0032,3.6031999999999997,1.2875,40.45,-0.0025,40.2125
320.913951726,24.1875,24.5625,25.0625,51.5,3.5584000000000007,0.0016,3.5984000000000007,1.2875,40.4825,-0.005,39.9175
325.913954695,24.25,24.5625,25.125,52.6,3.5568,0.0032,3.5968,1.2875,40.0625,0.0,40.0575
330.913961286,24.25,24.625,25.125,53.2,3.5536000000000003,0.0016,3.5936000000000003,1.2875,40.1025,0.0,40.065
335.913961513,24.3125,24.625,25.1875,53.2,3.5472,0.0048,3.592,1.2875,40.1525,-0.005,40.145
340.913963624,24.3125,24.6875,25.25,53.2,3.5488000000000004,0.0032,3.5872,1.2875,40.1475,-0.0025,40.145
345.913970729,24.375,24.6875,25.25,53.7,3.5456,0.0032,3.5872,1.2875,40.2075,-0.0025,40.2975
350.913974052,24.375,24.6875,25.3125,54.8,3.5408,3.9440000000000004,3.5840000000000005,1.2875,40.255,-0.0025,40.2375
355.913981438,24.3125,24.625,25.25,54.8,3.5392,3.4128000000000003,3.5840000000000005,1.2875,40.18,0.0,40.1025
360.913986338,24.1875,24.5,25.1875,54.8,3.5392,2.9984000000000006,3.5807999999999995,1.2875,40.245,-0.0025,40.28
365.91398898,24.0,24.25,25.0625,54.2,3.5344,2.6576,3.5824000000000003,1.2875,40.25,-0.0025,40.185
370.913997334,24.0,23.9375,25.0,53.7,3.5311999999999997,2.368,3.5792,1.2875,40.22,-0.0025,40.5225
375.914005685,23.9375,23.75,24.8125,54.2,3.5296,2.1248,3.5792,1.2875,40.285,0.0025,39.8725
380.914017995,23.8125,23.5625,24.6875,53.7,3.5263999999999998,1.9088,3.5792,1.2875,40.2775,0.0,39.92
385.914024136,23.8125,23.375,24.625,54.2,3.528,1.7216,3.5776,1.2875,39.865,0.0,39.7825
390.914031956,23.6875,23.3125,24.625,54.2,3.5231999999999997,1.5520000000000003,3.5728,1.2875,40.1475,-0.0025,39.925
395.914034343,23.6875,23.1875,24.5625,54.2,3.52,1.4016,3.5744000000000002,1.2875,40.055,0.0,39.9075
400.914041925,23.625,23.0625,24.625,54.2,3.52,1.272,3.5744000000000002,1.2875,40.0375,-0.0025,39.8175
405.914047683,23.625,23.0625,24.625,53.7,3.52,1.152,3.5711999999999997,1.2875,40.1375,0.0,39.8525
410.914056784,23.5625,23.0,24.5625,53.7,3.5151999999999997,1.0448,3.5728,1.2875,40.105,0.0,39.9125
415.914057762,23.5,23.0,24.625,54.8,3.5136000000000003,0.952,3.5711999999999997,1.2875,40.045,0.0,39.78
420.91406702,23.5,22.9375,24.625,54.8,3.512,0.8672000000000001,3.5696,1.2875,40.185,-0.0025,40.0925
425.914067174,23.5,22.9375,24.6875,54.8,3.5104,0.792,3.5664,1.2875,40.2,0.0,40.0325
430.914071137,23.5,23.0,24.6875,54.8,3.5072,0.7263999999999999,3.5696,1.2875,40.195,-0.0025,40.0875
435.914076578,23.5,23.0,24.75,54.8,3.5072,0.6672,3.5664,1.2875,40.1425,-0.0075,40.01
440.914078448,23.5,23.0,24.8125,55.3,3.5056,0.6127999999999999,3.5664,1.2875,40.2,-0.0025,40.0425
445.914079292,23.5,23.0625,24.8125,55.8,3.5056,0.5616,3.5664,1.2875,40.2125,0.0,39.97
450.914081425,23.5625,23.0625,24.875,55.8,3.5024,0.5152,3.5648,1.2875,40.23,-0.0025,40.0175
455.914083069,23.5625,23.125,24.9375,55.8,3.5024,0.4768,3.5631999999999997,1.2875,40.2225,-0.0025,39.975
460.91409257,23.625,23.25,25.0,55.8,3.4992,0.43520000000000003,3.5631999999999997,1.2875,40.2425,0.0,40.0325
465.914096632,23.625,23.25,25.0625,56.4,3.4992,0.4,3.5631999999999997,1.2875,40.24,-0.0025,40.015
470.914103158,23.6875,23.3125,25.125,55.8,3.496,4.2384,3.5631999999999997,1.2875,40.265,-0.005,40.1575
475.914105519,23.6875,23.4375,25.25,56.4,3.4976,3.6240000000000006,3.5631999999999997,1.2875,40.2725,0.0,39.9975
480.914108549,23.6875,23.5,25.25,56.9,3.4944,3.1696,3.5648,1.2875,40.2625,-0.0025,40.025
485.914109421,23.75,23.5625,25.3125,56.4,3.4944,2.8032,3.5616000000000003,1.2875,40.3025,0.0025,40.0925
490.914114156,23.8125,23.625,25.4375,56.9,3.4944,2.4944,3.56,1.2875,40.295,0.0,40.0175
495.914119956,23.8125,23.6875,25.5,56.9,3.4944,2.232,3.5584000000000007,1.2875,40.2775,-0.0025,40.0025
500.914128133,23.875,23.6875,25.5625,56.9,3.4944,2.0064,3.56,1.2875,40.335,0.0,39.9275
505.914135761,23.875,23.8125,25.625,57.5,3.4911999999999996,1.8048,3.5616000000000003,1.2875,40.3325,0.0,39.945
510.914136555,23.9375,23.875,25.6875,56.9,3.4911999999999996,1.6288,3.56,1.2875,40.3125,-0.005,39.995
515.914139786,24.0,23.9375,25.75,58.0,3.4896,1.4704,3.56,1.2875,40.325,-0.0075,39.855
520.914146468,24.0,24.0,25.8125,58.0,3.4896,1.3296000000000001,3.5584000000000007,1.2875,40.3475,-0.0025,40.0875
525.914148529,24.0625,24.0625,25.9375,58.0,3.488,1.2047999999999999,3.5584000000000007,1.2875,40.325,-0.0025,40.24
530.914154271,24.125,24.125,26.0,58.0,3.488,1.0976000000000001,3.56,1.2875,40.3425,0.0,39.9825
535.914162182,24.1875,24.1875,26.0625,58.0,3.488,0.9952,3.5568,1.2875,40.35,-0.005,39.995
540.914162393,24.1875,24.25,26.125,58.0,3.4863999999999997,0.9056000000000001,3.5584000000000007,1.2875,40.4025,-0.0025,40.115
545.914169751,24.25,24.3125,26.1875,58.0,3.4863999999999997,0.8272,3.5584000000000007,1.2875,40.3575,-0.0025,40.0675
550.914176016,24.3125,24.375,26.25,58.0,3.4863999999999997,0.7552,3.5551999999999997,1.2875,40.41,-0.0025,39.965
555.91417699,24.3125,24.4375,26.3125,59.1,3.4831999999999996,0.6928,3.5568,1.2875,40.3825,0.0,40.085
560.91418447,24.375,24.5,26.375,58.5,3.4816000000000003,0.6352000000000001,3.5568,1.2875,40.36,0.0025,40.1075
565.914190175,24.4375,24.5625,26.4375,59.1,3.48,0.584,3.5551999999999997,1.2875,40.435,-0.0025,40.18
570.914196666,24.5,24.625,26.5,59.1,3.4816000000000003,0.536,3.5568,1.2875,40.4125,0.0,40.105
575.91420005,24.5,24.6875,26.625,59.1,3.48,0.49439999999999995,3.5568,1.2875,40.4375,-0.005,40.1575
580.914201749,24.625,24.75,26.6875,59.1,3.48,0.45280000000000004,3.5536000000000003,1.2875,40.45,-0.0025,40.05
585.914203006,24.625,24.8125,26.75,59.1,3.48,0.416,3.5551999999999997,1.2875,40.41,-0.0025,40.015
590.914204074,24.6875,24.875,26.8125,60.1,3.4768000000000003,0.384,3.5536000000000003,1.2875,40.46,-0.0075,40.1325
595.914207056,24.75,24.9375,26.875,59.6,3.4768000000000003,3.8432,3.5551999999999997,1.2875,40.03,0.0,40.05
600.914210988,24.8125,25.0,26.9375,59.6,3.48,3.3440000000000003,3.552,1.2875,40.025,-0.005,39.935
605.914214446,24.875,25.0625,27.0,60.1,3.4751999999999996,2.9408,3.5551999999999997,1.2875,40.0225,0.0,40.0825
610.914218782,24.875,25.125,27.0625,59.6,3.4768000000000003,2.6111999999999997,3.5551999999999997,1.2875,40.0625,0.0,40.0275
615.914223565,24.9375,25.125,27.125,60.1,3.4751999999999996,2.3296,3.552,1.2875,40.0725,-0.0025,40.0375
620.914226895,25.0,25.1875,27.25,60.1,3.4751999999999996,2.0896,3.5536000000000003,1.2875,40.05,-0.0025,40.02
625.914229462,25.0,25.25,27.3125,60.1,3.4736000000000002,1.8784,3.5504000000000002,1.2875,40.03,0.0,40.16
630.914236005,25.125,25.3125,27.375,60.7,3.4736000000000002,1.6912,3.5536000000000003,1.2875,40.0625,0.0,40.205
635.914238278,25.125,25.375,27.4375,60.7,3.4736000000000002,1.5264000000000002,3.5504000000000002,1.2875,40.0325,-0.005,40.0375
640.914243904,25.1875,25.4375,27.5,61.2,3.4736000000000002,1.3792000000000002,3.552,1.2875,40.0525,0.0,40.1375
645.914253454,25.25,25.5,27.5625,61.2,3.4688000000000003,1.248,3.5504000000000002,1.2875,40.0925,-0.0025,40.0325
650.91425873,25.3125,25.5625,27.625,60.7,3.4704,1.1328,3.5504000000000002,1.2875,40.045,0.0,39.9925
655.914261618,25.3125,25.5625,27.6875,60.7,3.4672,1.0255999999999998,3.5488000000000004,1.2875,40.1325,0.0,40.145
660.914265491,25.375,25.625,27.75,60.7,3.4704,0.9328,3.5488000000000004,1.2875,40.1825,0.0,40.135
665.914273801,25.4375,25.6875,27.8125,61.2,3.4656,0.8496000000000001,3.5488000000000004,1.2875,40.19,0.0,40.1925
670.914282792,25.5,25.75,27.875,61.2,3.4656,0.7792,3.5472,1.2875,40.1275,-0.005,40.0675
675.914289251,25.5,25.8125,27.9375,61.2,3.4656,0.7104000000000001,3.5488000000000004,1.2875,40.2125,0.0,40.1825
