Time (s),Temp0,Temp1,Temp2,Temp_CPU,Volt0,Volt1,Volt2,Volt_CPU,Curr0,Curr1,Curr2
248.451783939,23.5,23.9375,24.0625,48.3,3.8,0.0048,3.7952,1.2875,-0.005,-0.0025,0.0025
253.451793164,23.5625,23.9375,24.0625,49.4,3.6384000000000007,0.0032,3.648,1.2875,37.5675,0.0,37.6625
258.451794079,23.5625,23.9375,24.125,51.5,3.6192,0.0032,3.632,1.2875,39.7975,0.0,39.84
263.451796777,23.5625,23.9375,24.125,52.1,3.608,0.0032,3.6240000000000006,1.2875,39.905,-0.005,39.7975
268.451798479,23.625,24.0,24.1875,52.1,3.6031999999999997,0.0032,3.6176,1.2875,39.9175,-0.005,40.08
273.451807429,23.625,24.0,24.1875,52.6,3.5968,0.0048,3.6111999999999997,1.2875,39.965,0.0,40.0675
278.45181046,23.625,24.0,24.25,52.6,3.592,0.0032,3.6048,1.2875,40.1275,-0.0025,39.97
283.451818819,23.625,23.9375,24.1875,52.6,3.5856,0.0,3.6,1.2875,40.085,0.0,40.105
288.451828279,23.5625,23.8125,24.125,52.6,3.5807999999999995,0.0032,3.5984000000000007,1.2875,40.1975,0.0,40.2725
293.451835076,23.5,23.6875,24.0625,52.6,3.576,0.0032,3.5951999999999997,1.2875,40.3675,0.0,40.23
298.451841742,23.375,23.5,24.0,52.6,3.5744000000000002,0.0016,3.592,1.2875,40.2725,-0.005,40.1475
303.451842781,23.3125,23.3125,23.875,52.6,3.5696,0.0032,3.5888,1.2875,40.355,0.0,40.21
308.453319837,23.25,23.125,23.8125,52.6,3.5631999999999997,0.0016,3.5824000000000003,1.2875,40.455,-0.0025,40.0325
313.453322295,23.1875,23.0,23.75,52.6,3.5616000000000003,3.9375999999999998,3.5824000000000003,1.2875,40.4675,-0.0025,40.295
318.453326531,23.125,22.875,23.6875,52.6,3.5584000000000007,3.4063999999999997,3.5807999999999995,1.2875,40.5025,-0.0025,40.32
323.453330891,23.0625,22.75,23.625,52.6,3.5568,2.9904,3.5776,1.2875,40.0825,0.0,40.3525
328.453336066,23.0,22.6875,23.5625,52.6,3.5536000000000003,2.6496,3.576,1.2875,40.1225,-0.005,40.38
333.453342691,22.9375,22.625,23.5,53.2,3.5504000000000002,2.3615999999999997,3.5728,1.2875,40.1275,0.0,40.2525
338.453352128,22.9375,22.5625,23.5,53.7,3.5504000000000002,2.1152,3.5728,1.2875,40.1275,-0.005,40.4925
343.453356053,22.9375,22.5,23.5,53.7,3.5472,1.9024,3.5711999999999997,1.2875,40.185,-0.005,40.4175
348.45335817,22.875,22.5,23.5,53.7,3.5440000000000005,1.7120000000000002,3.5696,1.2875,40.1875,0.0,40.16
353.453363118,22.875,22.4375,23.5,53.2,3.5424,1.544,3.568,1.2875,40.2075,-0.0025,39.9075
358.453366842,22.875,22.4375,23.5625,53.7,3.5424,1.3936000000000002,3.5696,1.2875,40.2475,-0.0025,39.955
363.45337299,22.875,22.4375,23.5625,53.7,3.5424,1.2608,3.568,1.2875,40.21,0.0,40.05
368.453373181,22.875,22.4375,23.625,54.2,3.5392,1.144,3.5648,1.2875,40.2075,-0.0025,40.0775
373.453381688,22.875,22.4375,23.6875,54.2,3.536,1.0384,3.5664,1.2875,40.35,-0.0025,40.07
378.453383722,22.875,22.5,23.6875,54.2,3.536,0.944,3.5664,1.2875,40.37,0.0,39.9325
383.453386317,22.875,22.5,23.75,54.2,3.5344,0.8592000000000001,3.5648,1.2875,40.225,0.0,40.095
388.453395724,22.875,22.5,23.8125,54.2,3.536,0.7872,3.5631999999999997,1.2875,40.385,0.0,39.9425
393.453402882,22.9375,22.5625,23.8125,54.8,3.5328000000000004,0.72,3.5616000000000003,1.2875,40.3525,0.0,39.9575
398.453405085,22.9375,22.5625,23.9375,55.3,3.5311999999999997,0.6607999999999999,3.5631999999999997,1.2875,40.2425,0.0,39.9925
403.453407125,22.9375,22.625,23.9375,55.3,3.5311999999999997,0.6048000000000001,3.5631999999999997,1.2875,40.225,0.0,40.085
408.453413847,22.9375,22.6875,24.0625,54.8,3.5311999999999997,0.5568,3.5616000000000003,1.2875,40.385,-0.005,39.91
413.453417387,23.0,22.6875,24.125,54.8,3.528,0.5104,3.5616000000000003,1.2875,40.3775,-0.0025,39.8975
418.453420819,23.0,22.75,24.125,55.8,3.5263999999999998,0.4672,3.5616000000000003,1.2875,40.285,-0.0025,39.9975
423.453423883,23.0,22.75,24.1875,55.8,3.5263999999999998,0.4304,3.56,1.2875,40.2575,0.0,39.965
428.456395443,23.0625,22.8125,24.25,55.8,3.5263999999999998,0.39520000000000005,3.56,1.2875,40.4425,0.0025,39.9875
433.456399908,23.0625,22.875,24.3125,55.8,3.5248000000000004,4.236800000000001,3.5616000000000003,1.2875,40.4275,0.0,40.0225
438.456404214,23.125,22.875,24.375,56.4,3.5248000000000004,3.6192,3.56,1.2875,40.3925,-0.0025,40.1725
443.456410914,23.125,22.9375,24.4375,56.4,3.5248000000000004,3.1616000000000004,3.56,1.2875,40.3025,-0.0025,40.18
448.456415529,23.125,23.0,24.5,56.4,3.5248000000000004,2.7904,3.56,1.2875,40.4875,-0.0025,40.1775
453.456422018,23.1875,23.0625,24.5625,55.8,3.5263999999999998,2.4831999999999996,3.5584000000000007,1.2875,40.0675,0.0,40.0575
458.456426006,23.1875,23.0625,24.625,56.4,3.5263999999999998,2.216,3.5584000000000007,1.2875,40.0,-0.0025,40.1075
463.45643291,23.25,23.125,24.6875,56.4,3.5248000000000004,1.9904,3.5568,1.2875,39.975,0.0,40.0075
468.456440281,23.25,23.1875,24.75,56.4,3.5248000000000004,1.7903999999999998,3.56,1.2875,40.0525,-0.0025,39.9325
473.456447964,23.3125,23.1875,24.8125,56.9,3.5231999999999997,1.6112,3.5584000000000007,1.2875,39.8825,-0.0025,40.0275
478.456452209,23.3125,23.25,24.8125,56.9,3.5231999999999997,1.4512,3.56,1.2875,39.9325,0.0,40.03
483.45645437,23.3125,23.3125,24.9375,56.9,3.5216000000000003,1.3103999999999998,3.5584000000000007,1.2875,40.005,0.0,40.07
