Time (s),Voltage (V),Current (A)
0.2500007859998732,5.0469,0.252687
0.8811433559999386,5.0468,0.251592
1.540390016999936,5.0468,0.345097
2.185342037000055,5.0467,0.318601
2.8248178249998546,5.0468,0.318352
3.4726762769998913,5.0471,0.331354
4.11303520499996,5.0471,0.384645
4.939633064999953,5.0469,0.316316
5.5649877349999315,5.0471,0.308519
6.224832273999937,5.0471,0.357913
6.869845587999862,5.0469,0.372706
7.510063011000057,5.0469,0.375422
8.155818785000065,5.0467,0.480177
8.795399815999872,5.0468,0.494443
9.473952473000054,5.0469,"0.50692
"
10.100001799999973,5.0469,0.484846
10.760759902000018,5.0471,0.486922
11.405293720999907,5.0472,"0.49393
"
12.054520496999885,5.0471,0.436968
12.70065106800007,5.0469,"0.4816
"
13.338608869999916,5.0470,0.471449
13.985556535999876,5.0472,0.510147
14.662259066999923,5.0470,0.452065
15.314984979999963,5.0470,0.513448
15.959684633000052,5.0468,0.366114
16.606016153999917,5.0469,0.382613
17.251236228999915,5.0468,0.480235
17.89543782099986,5.0467,0.468648
18.54001874200003,5.0472,0.525229
19.180268944999852,5.0470,0.515259
19.85402709599998,5.0470,0.464604
20.505025857999954,5.0469,0.463109
21.14462679799999,5.0469,0.429953
21.80936890399994,5.0470,0.573187
22.433233902999973,5.0470,0.436964
23.09453484300002,5.0470,0.470424
23.740548926999963,"5.047
",0.526676
24.37454871099999,5.0471,0.498365
25.023321931000055,5.0469,0.426894
25.659625991999974,5.0469,0.423588
26.33526069000004,5.0472,0.540418
26.959415646000025,5.0471,0.498392
27.635447683999928,5.0470,0.593318
28.260279630000014,5.0468,0.676251
28.929730396999958,5.0468,0.530972
29.554843481000034,5.0466,0.536112
30.225034365000056,5.0468,0.588629
30.869015384000022,5.0471,0.495315
31.50959894499988,5.0472,"0.50637
"
32.154342477,5.0471,0.491394
32.80062406899992,5.0470,0.375842
33.44456943599994,5.0469,"0.42645
"
34.08812811600001,5.0468,0.400351
34.73432801700005,5.0470,0.375787
35.377521828,5.0470,"0.40382
"
36.02312029099994,5.0469,0.382325
36.66942085300002,5.0470,"0.375
"
37.31173763499987,5.0468,0.374856
37.964141294,5.0469,0.375242
38.609617224999965,5.0469,0.468739
39.253769358,5.0469,"0.39366
"
39.897271929,5.0471,0.393404
40.54824093100001,5.0471,0.469594
41.21748926300006,5.0468,0.479818
41.867927190000046,5.0466,0.460854
42.50467191500002,5.0468,0.478555
43.14987789299994,5.0469,0.547359
43.78902507499993,5.0469,0.451479
44.4351636209999,5.0471,0.327856
45.07968512899993,5.0468,0.466553
45.72711458599997,5.0463,0.531905
46.36328847100003,5.0468,0.462626
47.00914921999993,5.0474,0.457098
47.653833517000066,5.0470,0.636318
48.29939940100007,5.0468,"0.512
"
