Time (s),Temp0,Temp1,Temp2,Temp_CPU,Volt0,Volt1,Volt2,Volt_CPU,Curr0,Curr1,Curr2,Cyc0,Cyc1,Cyc2,Seq0,Seq1,Seq2,disval0,disval1,disval2,dislowval0,dislowval1,dislowval2,chgval0,chgval1,chgval2,chglowval0,chglowval1,chglowval2,estSOC0,estSOC1,estSOC2,estCAP0,estCAP1,estCAP2,estV0,estV1,estV2,heater_on?
3284.132780944,26.5,28.0,27.9375,51.6,2.6848,3.8,3.3728000000000002,0.84,0.0025,0.0,0.0025,0,0,0,0,0,0,120,120,120,120,120,120,9,9,9,200,200,200,0,0,0,171.6138,171.6138,171.6138,0,0,0,False
3285.132789388,26.5,28.0,27.9375,52.1,2.7104,3.696,3.1632,0.84,0.0,32.775,38.1275,0,0,0,0,0,0,120,120.49999999999997,120.49999999999997,120,120,120,9,9,9,200,200,200,0,0,0,171.6138,171.6138,171.6138,0,0,0,False
3286.132792091,26.4375,28.0,27.9375,53.0,2.752,3.688,3.0911999999999997,0.84,0.0,33.225,39.425,0,0,0,0,0,0,120,121.49999999999991,121.49999999999991,120,120,120,9,9,9,200,200,200,-2.052831393749924e-05,0.0005270974159694616,0.00024472470034658914,171.6138,171.6138,171.6138,2.7463199771867375,2.7736969207283106,2.734986281121557,False
3287.13280496,26.4375,28.0,28.0,52.1,2.7872000000000003,3.68,3.0688,0.84,0.0,33.635,40.0075,0,0,0,0,0,0,120,122.49999999999986,122.49999999999986,120,120,120,9,9,9,200,200,200,-1.5335035273868903e-05,0.001245879223452031,0.0004460547760879091,171.6138,171.6138,171.6138,2.7470609940229807,2.81815373537522,2.6875167982818233,False
3288.132818663,26.4375,28.0625,28.0,51.6,2.8144,3.6736000000000004,3.0592,0.84,-0.0075,34.0875,40.2875,0,0,0,0,0,0,120,123.4999999999998,123.4999999999998,120,120,120,9,9,9,200,200,200,3.4822133347600404e-05,0.0020549313233456934,0.0006757006340634814,171.6138,171.6138,171.6138,2.7526710555166476,2.9749701827280304,2.7484882593934112,False
3289.132821478,26.4375,28.0,28.0,51.6,2.8384000000000005,3.6672000000000002,3.0511999999999997,0.84,-0.0075,34.4525,40.985,0,0,0,0,0,0,120,124.49999999999974,124.49999999999974,120,120,120,9,9,9,200,200,200,-0.00030295833504212445,0.002781912787351266,0.0008722849173079634,171.6138,171.6138,171.6138,3.2503182553412846,3.127254563703885,2.808556741220282,False
3290.132827014,26.5,28.0,28.0,51.1,2.8592000000000004,3.6607999999999996,3.0448000000000004,0.84,-0.0025,34.8225,41.265,0,0,0,0,0,0,120,125.49999999999969,125.49999999999969,120,120,120,9,9,9,200,200,200,-0.0006274969367994739,0.0033501162758994584,0.0010059909201941323,171.6138,171.6138,171.6138,3.1809930040674153,3.2561178208365886,2.857746224194571,False
3291.132839551,26.5,27.9375,28.0,52.5,2.8752,3.6576,3.0384000000000007,0.84,0.0025,35.2625,42.1375,0,0,0,0,0,0,120,126.49999999999963,126.49999999999963,120,120,120,9,9,9,200,200,200,-0.0009227460744762142,0.003752423307679791,0.0010684153841093212,171.6138,171.6138,171.6138,3.1297448133440366,3.3557787858862045,2.896349642846261,False
3292.132849383,26.4375,27.9375,27.9375,53.5,2.8895999999999997,3.6528,3.0336000000000003,0.84,-0.0025,35.68,42.58,0,0,0,0,0,0,120,127.49999999999957,127.49999999999957,120,120,120,9,9,9,200,200,200,-0.00016422846297164462,0.004017695945711665,0.0010734945924328397,171.6138,171.6138,171.6138,2.6134879098268637,3.4290023627098747,2.922070337295093,False
3293.132850124,26.4375,27.9375,27.9375,53.5,2.9040000000000004,3.6463999999999994,3.0256,0.84,0.0,36.145,43.305,0,0,0,0,0,0,120,128.49999999999952,128.49999999999952,120,120,120,9,9,9,200,200,200,-0.0004210158012031463,0.004172268945945677,0.001029781882528064,171.6138,171.6138,171.6138,3.1484206747295125,3.480920123925718,2.9403962454472303,False
3294.132854123,26.4375,27.875,27.9375,52.5,2.9136,3.64,3.0240000000000005,0.84,-0.005,36.57,42.94,0,0,0,0,0,0,120,129.49999999999946,129.49999999999946,120,120,120,9,9,9,200,200,200,0.00046851712766951716,0.004241889268730546,0.0009470852768146717,171.6138,171.6138,171.6138,2.6332277341056867,3.5159764206904436,2.9505576848690493,False
3295.132854678,26.4375,27.875,27.9375,53.0,2.9248000000000003,3.6384000000000007,3.0176,0.84,-0.0025,36.8975,43.43,0,0,0,0,0,0,120,130.4999999999994,130.4999999999994,120,120,120,9,9,9,200,200,200,0.0002724641028381057,0.004249255269230542,0.0008387593800962207,171.6138,171.6138,171.6138,3.1632198564748504,3.53879093452101,2.959546621042351,False
3296.132857752,26.4375,27.8125,27.9375,53.0,2.936,3.6336000000000004,3.0128000000000004,0.84,-0.0025,37.3225,43.84,0,0,0,0,0,0,120,131.49999999999935,131.39999999999935,120,120,120,9,9,9,200,200,200,6.997956993907086e-05,0.0042197264153809606,0.0007139298760377306,171.6138,171.6138,171.6138,3.1228034741483253,3.5540393663965744,2.9620964482176095,False
3297.132867585,26.375,27.75,27.9375,54.0,2.9424,3.6304000000000003,3.008,0.84,-0.0075,37.7525,44.4,0,0,0,0,0,0,120,132.4999999999993,132.1999999999993,120,120,120,9,9,9,200,200,200,-0.00012407257453046127,0.004159413986085858,0.0005759319643259425,171.6138,171.6138,171.6138,3.094822762678143,3.5631512249742983,2.9623522084946425,False
3298.132874881,26.4375,27.8125,28.0,54.0,2.952,3.6224000000000003,3.0031999999999996,0.84,0.005,38.1725,44.4,0,0,0,0,0,0,120,133.49999999999923,133.09999999999926,120,120,120,9,9,9,200,200,200,-0.00031053346314900574,0.004079602777475892,0.00042972183439112194,171.6138,171.6138,171.6138,3.0764221829006986,3.5682383773058954,2.9605292178551577,False
3299.132889288,26.4375,27.8125,28.0,54.5,2.96,3.6192,2.9984000000000006,0.84,0.0,38.59,44.8875,0,0,0,0,0,0,120,134.49999999999918,133.09999999999926,120,120,120,9,9,9,200,200,200,0.0014298821382777926,0.003977382722468405,0.00027318252576371584,171.6138,171.6138,171.6138,2.5856572888256735,3.5696612317433303,2.9591744212408018,False
